dataset,repetition,fold,method,log_likelihood,mean_heldout_density,is_fallback
PctKids2Par,4,10,BETA_ROT,-10.607079021915446,1.3067328169026713,False
PctKids2Par,4,10,BETA_LSCV,-10.609260250387278,1.3157248272290867,False
PctKids2Par,4,10,LOGIT_SILV,-10.54193346300094,1.2619202634337203,False
PctKids2Par,4,10,LOGIT_LSCV,-10.603488604189266,1.3215707833445935,False
PctKids2Par,4,10,REFLECT_SILV,-0.20399449097200714,1.3252990064636914,False
PctKids2Par,4,10,REFLECT_LSCV,-0.20304802154920823,1.3242186830954756,False
PctKids2Par,5,1,BETA_ROT,-0.12058075798894613,1.4084351020146926,False
PctKids2Par,5,1,BETA_LSCV,-0.12300358056070572,1.4195277446191437,False
PctKids2Par,5,1,LOGIT_SILV,-0.06795824926860843,1.3426717976114326,False
PctKids2Par,5,1,LOGIT_LSCV,-0.11539029885093997,1.426350359462877,False
PctKids2Par,5,1,REFLECT_SILV,-0.11289433288694774,1.4259803845732975,False
PctKids2Par,5,1,REFLECT_LSCV,-0.11223216395484974,1.4251119242046573,False
PctKids2Par,5,2,BETA_ROT,-10.477871720665359,1.3812642675408382,False
PctKids2Par,5,2,BETA_LSCV,-10.48034075799726,1.3903722312267819,False
PctKids2Par,5,2,LOGIT_SILV,-10.4392747509075,1.3064738106754958,False
PctKids2Par,5,2,LOGIT_LSCV,-10.47716499150408,1.3942332935895763,False
PctKids2Par,5,2,REFLECT_SILV,-0.14244300714680766,1.3967834055735262,False
PctKids2Par,5,2,REFLECT_LSCV,-0.14280359949640992,1.3981668567576713,False
PctKids2Par,5,3,BETA_ROT,-3.630767511764521,1.353396593018532,False
PctKids2Par,5,3,BETA_LSCV,-3.6343025517027563,1.3632520004596156,False
PctKids2Par,5,3,LOGIT_SILV,-3.566712004460397,1.2953577135189318,False
PctKids2Par,5,3,LOGIT_LSCV,-3.6276343318797366,1.369399666184047,False
PctKids2Par,5,3,REFLECT_SILV,-0.18471338867304798,1.369651072451781,False
PctKids2Par,5,3,REFLECT_LSCV,-0.18356343916292825,1.3686038214128229,False
PctKids2Par,5,4,BETA_ROT,-10.502311576169022,1.328882711426644,False
PctKids2Par,5,4,BETA_LSCV,-10.504148752922855,1.3398122800910306,False
PctKids2Par,5,4,LOGIT_SILV,-10.44903064381577,1.2897113768427462,False
PctKids2Par,5,4,LOGIT_LSCV,-10.497371169350789,1.3455008399223647,False
PctKids2Par,5,4,REFLECT_SILV,-0.1623719417524088,1.3489985880865,False
PctKids2Par,5,4,REFLECT_LSCV,-0.16075244633130426,1.3461221245062474,False
PctKids2Par,5,5,BETA_ROT,-7.0557664578452854,1.3903398748851015,False
PctKids2Par,5,5,BETA_LSCV,-7.057828794093394,1.4017971439243542,False
PctKids2Par,5,5,LOGIT_SILV,-7.014719110614339,1.3259034880322536,False
PctKids2Par,5,5,LOGIT_LSCV,-7.0532105173735395,1.4063118910693162,False
PctKids2Par,5,5,REFLECT_SILV,-0.11992346631973712,1.4102344432673637,False
PctKids2Par,5,5,REFLECT_LSCV,-0.12076165167458291,1.414598791722537,False
PctKids2Par,5,6,BETA_ROT,-3.63556216516663,1.400274601828395,False
PctKids2Par,5,6,BETA_LSCV,-3.6350192716964798,1.411971527588498,False
PctKids2Par,5,6,LOGIT_SILV,-3.585259026362977,1.3125925605341913,False
PctKids2Par,5,6,LOGIT_LSCV,-3.627417976494826,1.4139333666002618,False
PctKids2Par,5,6,REFLECT_SILV,-0.1507375071974618,1.421439215661351,False
PctKids2Par,5,6,REFLECT_LSCV,-0.16097423097146019,1.425694387108265,False
PctKids2Par,5,7,BETA_ROT,-10.547417961757114,1.3566464610560338,False
PctKids2Par,5,7,BETA_LSCV,-10.554464845805516,1.3648933261787646,False
PctKids2Par,5,7,LOGIT_SILV,-10.491047508325675,1.3132790545313873,False
PctKids2Par,5,7,LOGIT_LSCV,-10.55380152203378,1.3721130381706392,False
PctKids2Par,5,7,REFLECT_SILV,-0.14374213737587965,1.3777558197785746,False
PctKids2Par,5,7,REFLECT_LSCV,-0.16530938479095478,1.3740306870193528,False
PctKids2Par,5,8,BETA_ROT,-7.069798569020129,1.4071709522436204,False
PctKids2Par,5,8,BETA_LSCV,-7.0722889066009245,1.4183865054936502,False
PctKids2Par,5,8,LOGIT_SILV,-7.028588221832324,1.3312160922399303,False
PctKids2Par,5,8,LOGIT_LSCV,-7.086100363879124,1.4225172579154286,False
PctKids2Par,5,8,REFLECT_SILV,-0.13541087634862198,1.4288351431323838,False
PctKids2Par,5,8,REFLECT_LSCV,-0.1356494408479895,1.4294788701067471,False
PctKids2Par,5,9,BETA_ROT,-0.09117622186396877,1.3945768315097007,False
PctKids2Par,5,9,BETA_LSCV,-0.0935950699211782,1.405199420186223,False
PctKids2Par,5,9,LOGIT_SILV,-0.04662832764987314,1.3408895639817509,False
PctKids2Par,5,9,LOGIT_LSCV,-0.08838413371937903,1.4151526279853741,False
PctKids2Par,5,9,REFLECT_SILV,-0.0977340222462704,1.408413296320235,False
PctKids2Par,5,9,REFLECT_LSCV,-0.09765410632203417,1.4082730593231798,False
PctKids2Par,5,10,BETA_ROT,-10.572212015250775,1.3427548285030244,False
PctKids2Par,5,10,BETA_LSCV,-10.576176276557785,1.3502791055082777,False
PctKids2Par,5,10,LOGIT_SILV,-10.523062952537632,1.2939385749088699,False
PctKids2Par,5,10,LOGIT_LSCV,-10.570438870911437,1.3572879860952116,False
PctKids2Par,5,10,REFLECT_SILV,-0.181069386396698,1.3583645434655376,False
PctKids2Par,5,10,REFLECT_LSCV,-0.18148314834233123,1.3590919750592494,False
PctKids2Par,6,1,BETA_ROT,-7.043073176511033,1.3837350804301525,False
PctKids2Par,6,1,BETA_LSCV,-7.043426078995549,1.3943771084813101,False
PctKids2Par,6,1,LOGIT_SILV,-6.9958489111726365,1.317029668299752,False
PctKids2Par,6,1,LOGIT_LSCV,-7.035515422619767,1.401122762328502,False
PctKids2Par,6,1,REFLECT_SILV,-0.14639217777440292,1.4011429048022481,False
PctKids2Par,6,1,REFLECT_LSCV,-0.14637441432282228,1.401101018695523,False
PctKids2Par,6,2,BETA_ROT,-3.6458175711650904,1.3147326696676942,False
PctKids2Par,6,2,BETA_LSCV,-3.65058647403161,1.3235861838441219,False
PctKids2Par,6,2,LOGIT_SILV,-3.5741888346077575,1.267153736801053,False
PctKids2Par,6,2,LOGIT_LSCV,-3.6394170065476676,1.3317749590603136,False
PctKids2Par,6,2,REFLECT_SILV,-0.19381233036894707,1.3322993994410217,False
PctKids2Par,6,2,REFLECT_LSCV,-0.19273857313513598,1.3314327858760613,False
PctKids2Par,6,3,BETA_ROT,-3.5294738015968035,1.4482569020666103,False
PctKids2Par,6,3,BETA_LSCV,-3.529894983788233,1.4592290820786977,False
PctKids2Par,6,3,LOGIT_SILV,-3.4973111077824,1.358289099407151,False
PctKids2Par,6,3,LOGIT_LSCV,-3.524965234064126,1.4663471753561474,False
PctKids2Par,6,3,REFLECT_SILV,-0.0814474026772851,1.4647037533830412,False
PctKids2Par,6,3,REFLECT_LSCV,-0.08206216966959712,1.4660711517395788,False
PctKids2Par,6,4,BETA_ROT,-7.0191015608493466,1.3865620310210738,False
PctKids2Par,6,4,BETA_LSCV,-7.020563031056675,1.3961966062625715,False
PctKids2Par,6,4,LOGIT_SILV,-6.9808484883545585,1.3205331510342393,False
